URL,Name,Price,Rating,Reviews
/Gear-Polyester-Laptop-Backpack-LBPECO1000109/dp/B012NW1H1I,Gear ECO 1 Black Orange Red Laptop Backpack,₹759,4.3,More Like This
/Hammonds-Flycatcher-Genuine-Leather-Messenger/dp/B07MDTVDQH,"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 14 Inch Laptop/MacBook | Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men |","₹2,389",4.4,More Like This
/Storite-Bag-Shoulder-Compartment-Brown/dp/B0BJ6GK6S4,"Storite Pu Leather 46 Cms Travel Duffle Bag Sports Gym Shoulder Handbag for Men Outdoor Weekend Bag for Women with Shoe Compartment Luggage Bag (Brown, 46 x 25.5 x 25.5 Cm)",₹598,3.9,More Like This
/FUR-JADEN-Backpack-Organizer-Compartments/dp/B0BQYKTDCK,"FUR JADEN Faux Leather 15.6 Inch Premium Laptop Backpack 32L with Internal Organizer, 2 Large Compartments","₹2,199",4.6,More Like This
/bg1905-Capacity-Laptop-Travelling-Backpack/dp/B082MKHDJ1,TSPARK Red Lemon bg1905 15.6 inch 35 LTR Capacity Laptop Bag for Men Travelling Hiking Backpack for Men and Women,"₹2,949",4.3,More Like This
/Backpack-Colleges-Luggage-Waterproof-Stylish/dp/B09GYGCK54,"URBAN CARRIER Unisex Waterproof Medium Laptop Backpack for School and Colleges (Grey, Large, 45 Liters)",₹559,3.9,More Like This
/Birthday-Popper-Unicorn-Drawstring-Return/dp/B097FSPNCS,Birthday Popper Drawstring Sack Bag (Set of 15) Birthday Return Gifts for All Age Group,₹599,4.0,795
/ADISA-Laptop-Backpack-Office-College/dp/B0BVRJYD9Q,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),₹599,4.0,22
/EVRUM-Business-Protection-Crossbody-Waterproof/dp/B0BX6VKQ35,"EVRUM Sling Bag For Men CrossBody Backpack For Men Women, Anti-Theft Chest Bag With USB Charging Port, Waterproof Casual Shoulder Bag Travel Hiking Sling Backpack Carbon Fiber","₹1,619",4.9,70
/NISUN-Zipper-Sling-Black-Grey/dp/B09BZNTFLX,"NISUN Stylish Nylon 7 Zipper Multi Pocket Small Sling Cross Body Travel Messenger One Side Shoulder Bag For Men Women (Black & Grey,21x27x10.5 cm)",₹598,4.0,More Like This
/Arctic-Fox-Liters-Chrome-Backpack/dp/B08DD7S67G,Arctic Fox 27 Liters Chrome Black 15 Inch Laptop Backpack,"₹1,599",4.5,More Like This
/Red-Lemon-Backpack-Accessories-Organiser/dp/B0C2KRH268,"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","₹1,899",4.4,More Like This
/Birthday-Popper-Avengers-Drawstring-Return/dp/B097F8CW71,Birthday Popper Drawstring Sack Bag (Set of 15) Birthday Return Gifts for All Age Group,₹589,4.0,795
/Half-Moon-Waterproof-Backpack-Students/dp/B0BQFVH29F,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Sky Blue),₹599,3.6,More Like This
/Tinytot-School-Backpack-College-Multipurpose/dp/B09C5JVWCW,Tinytot School Bag School Backpack College Backpack Travel Backpack Office Backpack Multipurpose Backpack Picnic Bag for Boys & Girls,₹589,4.3,More Like This
/Safari-Formal-Backpack-Anti-Theft-VAULT19CBBLK/dp/B07XSTR69N,"Safari 48 Cms Black Formal/Office/Laptop Backpack With Anti-Theft, Lock, Usb And Rfid (Vault19Cbblk)","₹1,396",4.0,More Like This
/Martucci-Laptop-Backpack-College-Reflective/dp/B0B7DT6HY3,Martucci Large 35 L Backpack Spacy Unisex/College/School/Travel Backpack with Rain Cover and Reflective Strip,₹746,4.0,More Like This
